"id";"origin";"product_uos_qty";"create_date";"move_dest_id";"product_uom";"price_unit";"product_uom_qty";"company_id";"date";"product_qty";"product_uos";"location_id";"priority";"picking_type_id";"partner_id";"note";"state";"origin_returned_move_id";"product_packaging";"date_expected";"procurement_id";"name";"create_uid";"warehouse_id";"inventory_id";"partially_available";"propagate";"restrict_partner_id";"procure_method";"write_uid";"restrict_lot_id";"group_id";"product_id";"split_from";"picking_id";"location_dest_id";"write_date";"push_rule_id";"rule_id";"invoice_state";"purchase_line_id";"consumed_for";"raw_material_production_id";"production_id";"weight";"weight_net";"weight_uom_id";"auto_move";"x_imb_y";"x_imb_x";"x_imb_z"
28272;"";;"2017-07-28 08:54:06.71977";;1;;10.000;1;"2017-07-28 08:54:06";10.0;;5;"1";;;"";"done";;;"2017-07-28 08:54:06";;"INV:INV: Almeria Copripiumino varie misure";6;;11829;f;t;;"make_to_stock";6;;;29588;;;12;"2017-07-28 08:54:06.71977";;;"none";;;;;0.00;0.00;3;f;;;
28273;"";;"2017-07-28 08:54:07.880117";;1;;10.000;1;"2017-07-28 08:54:08";10.0;;5;"1";;;"";"done";;;"2017-07-28 08:54:08";;"INV:INV: Almeria Copripiumino varie misure";6;;11830;f;t;;"make_to_stock";6;;;29590;;;12;"2017-07-28 08:54:07.880117";;;"none";;;;;0.00;0.00;3;f;;;
28274;"";;"2017-07-28 08:54:09.070888";;1;;10.000;1;"2017-07-28 08:54:09";10.0;;5;"1";;;"";"done";;;"2017-07-28 08:54:09";;"INV:INV: Almeria Foular telo arredo varie misure";6;;11831;f;t;;"make_to_stock";6;;;29591;;;12;"2017-07-28 08:54:09.070888";;;"none";;;;;0.00;0.00;3;f;;;
28275;"";;"2017-07-28 08:54:09.809808";;1;;10.000;1;"2017-07-28 08:54:10";10.0;;5;"1";;;"";"done";;;"2017-07-28 08:54:10";;"INV:INV: Almeria Foular telo arredo varie misure";6;;11832;f;t;;"make_to_stock";6;;;29592;;;12;"2017-07-28 08:54:09.809808";;;"none";;;;;0.00;0.00;3;f;;;
28276;"";;"2017-07-28 08:54:10.646369";;1;;10.000;1;"2017-07-28 08:54:10";10.0;;5;"1";;;"";"done";;;"2017-07-28 08:54:10";;"INV:INV: Almeria Foular telo arredo varie misure";6;;11833;f;t;;"make_to_stock";6;;;29593;;;12;"2017-07-28 08:54:10.646369";;;"none";;;;;0.00;0.00;3;f;;;
28277;"";;"2017-07-28 08:54:11.36685";;1;;10.000;1;"2017-07-28 08:54:11";10.0;;5;"1";;;"";"done";;;"2017-07-28 08:54:11";;"INV:INV: Almeria Foular telo arredo varie misure";6;;11834;f;t;;"make_to_stock";6;;;29594;;;12;"2017-07-28 08:54:11.36685";;;"none";;;;;0.00;0.00;3;f;;;
28278;"";;"2017-07-28 08:54:12.142217";;1;;10.000;1;"2017-07-28 08:54:12";10.0;;5;"1";;;"";"done";;;"2017-07-28 08:54:12";;"INV:INV: Almeria Foular telo arredo varie misure";6;;11835;f;t;;"make_to_stock";6;;;29595;;;12;"2017-07-28 08:54:12.142217";;;"none";;;;;0.00;0.00;3;f;;;
28279;"";;"2017-07-28 08:54:12.88435";;1;;10.000;1;"2017-07-28 08:54:13";10.0;;5;"1";;;"";"done";;;"2017-07-28 08:54:13";;"INV:INV: Almeria Foular telo arredo varie misure";6;;11836;f;t;;"make_to_stock";6;;;29596;;;12;"2017-07-28 08:54:12.88435";;;"none";;;;;0.00;0.00;3;f;;;
28280;"";;"2017-07-28 08:54:13.693498";;1;;10.000;1;"2017-07-28 08:54:13";10.0;;5;"1";;;"";"done";;;"2017-07-28 08:54:13";;"INV:INV: Almeria Foular telo arredo varie misure";6;;11837;f;t;;"make_to_stock";6;;;29597;;;12;"2017-07-28 08:54:13.693498";;;"none";;;;;0.00;0.00;3;f;;;
28281;"";;"2017-07-28 08:54:14.456046";;1;;10.000;1;"2017-07-28 08:54:14";10.0;;5;"1";;;"";"done";;;"2017-07-28 08:54:14";;"INV:INV: Almeria Foular telo arredo varie misure";6;;11838;f;t;;"make_to_stock";6;;;29598;;;12;"2017-07-28 08:54:14.456046";;;"none";;;;;0.00;0.00;3;f;;;
