"id";"origin";"product_uos_qty";"create_date";"move_dest_id";"product_uom";"price_unit";"product_uom_qty";"company_id";"date";"product_qty";"product_uos";"location_id";"priority";"picking_type_id";"partner_id";"note";"state";"origin_returned_move_id";"product_packaging";"date_expected";"procurement_id";"name";"create_uid";"warehouse_id";"inventory_id";"partially_available";"propagate";"restrict_partner_id";"procure_method";"write_uid";"restrict_lot_id";"group_id";"product_id";"split_from";"picking_id";"location_dest_id";"write_date";"push_rule_id";"rule_id";"invoice_state";"purchase_line_id";"consumed_for";"raw_material_production_id";"production_id";"weight";"weight_net";"weight_uom_id";"auto_move";"x_imb_y";"x_imb_x";"x_imb_z"
28328;"";;"2017-07-28 08:54:55.820277";;1;;80.000;1;"2017-07-28 08:54:56";80.0;;5;"1";;;"";"done";;;"2017-07-28 08:54:56";;"INV:INV: Microfibra Accappatoio Tecnico";6;;11885;f;t;;"make_to_stock";6;;;12353;;;12;"2017-07-28 08:54:55.820277";;;"none";;;;;0.00;0.00;3;f;;;
28329;"";;"2017-07-28 08:54:56.671";;1;;80.000;1;"2017-07-28 08:54:56";80.0;;5;"1";;;"";"done";;;"2017-07-28 08:54:56";;"INV:INV: Microfibra Accappatoio Tecnico";6;;11886;f;t;;"make_to_stock";6;;;12354;;;12;"2017-07-28 08:54:56.671";;;"none";;;;;0.00;0.00;3;f;;;
28330;"";;"2017-07-28 08:54:57.502548";;1;;80.000;1;"2017-07-28 08:54:57";80.0;;5;"1";;;"";"done";;;"2017-07-28 08:54:57";;"INV:INV: Microfibra Accappatoio Tecnico";6;;11887;f;t;;"make_to_stock";6;;;12355;;;12;"2017-07-28 08:54:57.502548";;;"none";;;;;0.00;0.00;3;f;;;
28331;"";;"2017-07-28 08:54:58.556238";;1;;80.000;1;"2017-07-28 08:54:59";80.0;;5;"1";;;"";"done";;;"2017-07-28 08:54:58";;"INV:INV: Microfibra Accappatoio Tecnico";6;;11888;f;t;;"make_to_stock";6;;;12356;;;12;"2017-07-28 08:54:58.556238";;;"none";;;;;0.00;0.00;3;f;;;
28332;"";;"2017-07-28 08:54:59.588605";;1;;80.000;1;"2017-07-28 08:54:59";80.0;;5;"1";;;"";"done";;;"2017-07-28 08:54:59";;"INV:INV: Microfibra Accappatoio Tecnico";6;;11889;f;t;;"make_to_stock";6;;;12357;;;12;"2017-07-28 08:54:59.588605";;;"none";;;;;0.00;0.00;3;f;;;
28333;"";;"2017-07-28 08:55:00.395781";;1;;80.000;1;"2017-07-28 08:55:00";80.0;;5;"1";;;"";"done";;;"2017-07-28 08:55:00";;"INV:INV: Microfibra Accappatoio Tecnico";6;;11890;f;t;;"make_to_stock";6;;;12358;;;12;"2017-07-28 08:55:00.395781";;;"none";;;;;0.00;0.00;3;f;;;
28334;"";;"2017-07-28 08:55:01.185904";;1;;80.000;1;"2017-07-28 08:55:01";80.0;;5;"1";;;"";"done";;;"2017-07-28 08:55:01";;"INV:INV: Microfibra Accappatoio Tecnico";6;;11891;f;t;;"make_to_stock";6;;;12359;;;12;"2017-07-28 08:55:01.185904";;;"none";;;;;0.00;0.00;3;f;;;
28335;"";;"2017-07-28 08:55:02.008677";;1;;80.000;1;"2017-07-28 08:55:02";80.0;;5;"1";;;"";"done";;;"2017-07-28 08:55:02";;"INV:INV: Microfibra Accappatoio Tecnico";6;;11892;f;t;;"make_to_stock";6;;;12360;;;12;"2017-07-28 08:55:02.008677";;;"none";;;;;0.00;0.00;3;f;;;
28336;"";;"2017-07-28 08:55:02.829161";;1;;80.000;1;"2017-07-28 08:55:03";80.0;;5;"1";;;"";"done";;;"2017-07-28 08:55:02";;"INV:INV: Microfibra Accappatoio Tecnico";6;;11893;f;t;;"make_to_stock";6;;;12361;;;12;"2017-07-28 08:55:02.829161";;;"none";;;;;0.00;0.00;3;f;;;
28337;"";;"2017-07-28 08:55:03.61382";;1;;80.000;1;"2017-07-28 08:55:03";80.0;;5;"1";;;"";"done";;;"2017-07-28 08:55:03";;"INV:INV: Microfibra Accappatoio Tecnico";6;;11894;f;t;;"make_to_stock";6;;;12362;;;12;"2017-07-28 08:55:03.61382";;;"none";;;;;0.00;0.00;3;f;;;
28338;"";;"2017-07-28 08:55:04.417188";;1;;80.000;1;"2017-07-28 08:55:04";80.0;;5;"1";;;"";"done";;;"2017-07-28 08:55:04";;"INV:INV: Microfibra Accappatoio Tecnico";6;;11895;f;t;;"make_to_stock";6;;;12363;;;12;"2017-07-28 08:55:04.417188";;;"none";;;;;0.00;0.00;3;f;;;
28339;"";;"2017-07-28 08:55:05.229715";;1;;80.000;1;"2017-07-28 08:55:05";80.0;;5;"1";;;"";"done";;;"2017-07-28 08:55:05";;"INV:INV: Microfibra Accappatoio Tecnico";6;;11896;f;t;;"make_to_stock";6;;;12364;;;12;"2017-07-28 08:55:05.229715";;;"none";;;;;0.00;0.00;3;f;;;
28340;"";;"2017-07-28 08:55:06.023468";;1;;80.000;1;"2017-07-28 08:55:06";80.0;;5;"1";;;"";"done";;;"2017-07-28 08:55:06";;"INV:INV: Microfibra Accappatoio Tecnico";6;;11897;f;t;;"make_to_stock";6;;;12365;;;12;"2017-07-28 08:55:06.023468";;;"none";;;;;0.00;0.00;3;f;;;
28341;"";;"2017-07-28 08:55:06.808742";;1;;80.000;1;"2017-07-28 08:55:07";80.0;;5;"1";;;"";"done";;;"2017-07-28 08:55:06";;"INV:INV: Microfibra Accappatoio Tecnico";6;;11898;f;t;;"make_to_stock";6;;;12366;;;12;"2017-07-28 08:55:06.808742";;;"none";;;;;0.00;0.00;3;f;;;
28342;"";;"2017-07-28 08:55:10.114928";;1;;80.000;1;"2017-07-28 08:55:10";80.0;;5;"1";;;"";"done";;;"2017-07-28 08:55:10";;"INV:INV: Microfibra Accappatoio Tecnico";6;;11899;f;t;;"make_to_stock";6;;;12372;;;12;"2017-07-28 08:55:10.114928";;;"none";;;;;0.00;0.00;3;f;;;
28343;"";;"2017-07-28 08:55:11.039993";;1;;80.000;1;"2017-07-28 08:55:11";80.0;;5;"1";;;"";"done";;;"2017-07-28 08:55:11";;"INV:INV: Microfibra Accappatoio Tecnico";6;;11900;f;t;;"make_to_stock";6;;;12373;;;12;"2017-07-28 08:55:11.039993";;;"none";;;;;0.00;0.00;3;f;;;
28344;"";;"2017-07-28 08:55:11.86677";;1;;80.000;1;"2017-07-28 08:55:12";80.0;;5;"1";;;"";"done";;;"2017-07-28 08:55:12";;"INV:INV: Microfibra Accappatoio Tecnico";6;;11901;f;t;;"make_to_stock";6;;;12374;;;12;"2017-07-28 08:55:11.86677";;;"none";;;;;0.00;0.00;3;f;;;
28345;"";;"2017-07-28 08:55:12.69884";;1;;80.000;1;"2017-07-28 08:55:12";80.0;;5;"1";;;"";"done";;;"2017-07-28 08:55:12";;"INV:INV: Microfibra Accappatoio Tecnico";6;;11902;f;t;;"make_to_stock";6;;;12375;;;12;"2017-07-28 08:55:12.69884";;;"none";;;;;0.00;0.00;3;f;;;
28346;"";;"2017-07-28 08:55:13.489713";;1;;80.000;1;"2017-07-28 08:55:14";80.0;;5;"1";;;"";"done";;;"2017-07-28 08:55:13";;"INV:INV: Microfibra Accappatoio Tecnico";6;;11903;f;t;;"make_to_stock";6;;;12376;;;12;"2017-07-28 08:55:13.489713";;;"none";;;;;0.00;0.00;3;f;;;
28347;"";;"2017-07-28 08:55:14.635716";;1;;10.000;1;"2017-07-28 08:55:14";10.0;;5;"1";;;"";"done";;;"2017-07-28 08:55:14";;"INV:INV: Microfibra Accappatoio Tecnico";6;;11904;f;t;;"make_to_stock";6;;;12377;;;12;"2017-07-28 08:55:14.635716";;;"none";;;;;0.00;0.00;3;f;;;
28348;"";;"2017-07-28 08:55:15.415768";;1;;10.000;1;"2017-07-28 08:55:15";10.0;;5;"1";;;"";"done";;;"2017-07-28 08:55:15";;"INV:INV: Microfibra Accappatoio Tecnico";6;;11905;f;t;;"make_to_stock";6;;;12378;;;12;"2017-07-28 08:55:15.415768";;;"none";;;;;0.00;0.00;3;f;;;
28349;"";;"2017-07-28 08:55:16.196386";;1;;10.000;1;"2017-07-28 08:55:16";10.0;;5;"1";;;"";"done";;;"2017-07-28 08:55:16";;"INV:INV: Microfibra Accappatoio Tecnico";6;;11906;f;t;;"make_to_stock";6;;;12379;;;12;"2017-07-28 08:55:16.196386";;;"none";;;;;0.00;0.00;3;f;;;
28350;"";;"2017-07-28 08:55:16.957795";;1;;10.000;1;"2017-07-28 08:55:17";10.0;;5;"1";;;"";"done";;;"2017-07-28 08:55:17";;"INV:INV: Microfibra Accappatoio Tecnico";6;;11907;f;t;;"make_to_stock";6;;;12380;;;12;"2017-07-28 08:55:16.957795";;;"none";;;;;0.00;0.00;3;f;;;
28351;"";;"2017-07-28 08:55:18.178249";;1;;80.000;1;"2017-07-28 08:55:18";80.0;;5;"1";;;"";"done";;;"2017-07-28 08:55:18";;"INV:INV: Microfibra Accappatoio Tecnico";6;;11908;f;t;;"make_to_stock";6;;;12382;;;12;"2017-07-28 08:55:18.178249";;;"none";;;;;0.00;0.00;3;f;;;
28352;"";;"2017-07-28 08:55:18.946189";;1;;80.000;1;"2017-07-28 08:55:19";80.0;;5;"1";;;"";"done";;;"2017-07-28 08:55:19";;"INV:INV: Microfibra Accappatoio Tecnico";6;;11909;f;t;;"make_to_stock";6;;;12383;;;12;"2017-07-28 08:55:18.946189";;;"none";;;;;0.00;0.00;3;f;;;
28353;"";;"2017-07-28 08:55:19.747735";;1;;80.000;1;"2017-07-28 08:55:20";80.0;;5;"1";;;"";"done";;;"2017-07-28 08:55:19";;"INV:INV: Microfibra Accappatoio Tecnico";6;;11910;f;t;;"make_to_stock";6;;;12384;;;12;"2017-07-28 08:55:19.747735";;;"none";;;;;0.00;0.00;3;f;;;
28354;"";;"2017-07-28 08:55:20.564739";;1;;80.000;1;"2017-07-28 08:55:20";80.0;;5;"1";;;"";"done";;;"2017-07-28 08:55:20";;"INV:INV: Microfibra Accappatoio Tecnico";6;;11911;f;t;;"make_to_stock";6;;;12385;;;12;"2017-07-28 08:55:20.564739";;;"none";;;;;0.00;0.00;3;f;;;
28355;"";;"2017-07-28 08:55:21.319873";;1;;80.000;1;"2017-07-28 08:55:21";80.0;;5;"1";;;"";"done";;;"2017-07-28 08:55:21";;"INV:INV: Microfibra Accappatoio Tecnico";6;;11912;f;t;;"make_to_stock";6;;;12386;;;12;"2017-07-28 08:55:21.319873";;;"none";;;;;0.00;0.00;3;f;;;
28356;"";;"2017-07-28 08:55:22.114341";;1;;20.000;1;"2017-07-28 08:55:22";20.0;;5;"1";;;"";"done";;;"2017-07-28 08:55:22";;"INV:INV: Microfibra Accappatoio Tecnico";6;;11913;f;t;;"make_to_stock";6;;;12387;;;12;"2017-07-28 08:55:22.114341";;;"none";;;;;0.00;0.00;3;f;;;
28357;"";;"2017-07-28 08:55:22.874151";;1;;20.000;1;"2017-07-28 08:55:23";20.0;;5;"1";;;"";"done";;;"2017-07-28 08:55:23";;"INV:INV: Microfibra Accappatoio Tecnico";6;;11914;f;t;;"make_to_stock";6;;;12388;;;12;"2017-07-28 08:55:22.874151";;;"none";;;;;0.00;0.00;3;f;;;
28358;"";;"2017-07-28 08:55:23.700705";;1;;20.000;1;"2017-07-28 08:55:23";20.0;;5;"1";;;"";"done";;;"2017-07-28 08:55:23";;"INV:INV: Microfibra Accappatoio Tecnico";6;;11915;f;t;;"make_to_stock";6;;;12389;;;12;"2017-07-28 08:55:23.700705";;;"none";;;;;0.00;0.00;3;f;;;
28359;"";;"2017-07-28 08:55:24.467359";;1;;20.000;1;"2017-07-28 08:55:24";20.0;;5;"1";;;"";"done";;;"2017-07-28 08:55:24";;"INV:INV: Microfibra Accappatoio Tecnico";6;;11916;f;t;;"make_to_stock";6;;;12390;;;12;"2017-07-28 08:55:24.467359";;;"none";;;;;0.00;0.00;3;f;;;
28360;"";;"2017-07-28 08:55:25.71157";;1;;3.000;1;"2017-07-28 08:55:25";3.0;;5;"1";;;"";"done";;;"2017-07-28 08:55:25";;"INV:INV: Microfibra Accappatoio Tecnico";6;;11917;f;t;;"make_to_stock";6;;;12392;;;12;"2017-07-28 08:55:25.71157";;;"none";;;;;0.00;0.00;3;f;;;
28361;"";;"2017-07-28 08:55:28.118881";;1;;30.000;1;"2017-07-28 08:55:28";30.0;;5;"1";;;"";"done";;;"2017-07-28 08:55:28";;"INV:INV: Microfibra Accappatoio Tecnico";6;;11918;f;t;;"make_to_stock";6;;;12396;;;12;"2017-07-28 08:55:28.118881";;;"none";;;;;0.00;0.00;3;f;;;
28362;"";;"2017-07-28 08:55:29.069535";;1;;30.000;1;"2017-07-28 08:55:29";30.0;;5;"1";;;"";"done";;;"2017-07-28 08:55:29";;"INV:INV: Microfibra Accappatoio Tecnico";6;;11919;f;t;;"make_to_stock";6;;;12397;;;12;"2017-07-28 08:55:29.069535";;;"none";;;;;0.00;0.00;3;f;;;
28363;"";;"2017-07-28 08:55:29.86419";;1;;30.000;1;"2017-07-28 08:55:30";30.0;;5;"1";;;"";"done";;;"2017-07-28 08:55:30";;"INV:INV: Microfibra Accappatoio Tecnico";6;;11920;f;t;;"make_to_stock";6;;;12398;;;12;"2017-07-28 08:55:29.86419";;;"none";;;;;0.00;0.00;3;f;;;
28364;"";;"2017-07-28 08:55:30.629237";;1;;30.000;1;"2017-07-28 08:55:30";30.0;;5;"1";;;"";"done";;;"2017-07-28 08:55:30";;"INV:INV: Microfibra Accappatoio Tecnico";6;;11921;f;t;;"make_to_stock";6;;;12399;;;12;"2017-07-28 08:55:30.629237";;;"none";;;;;0.00;0.00;3;f;;;
28365;"";;"2017-07-28 08:55:31.365867";;1;;30.000;1;"2017-07-28 08:55:31";30.0;;5;"1";;;"";"done";;;"2017-07-28 08:55:31";;"INV:INV: Microfibra Accappatoio Tecnico";6;;11922;f;t;;"make_to_stock";6;;;12400;;;12;"2017-07-28 08:55:31.365867";;;"none";;;;;0.00;0.00;3;f;;;
28366;"";;"2017-07-28 08:55:32.612716";;1;;78.000;1;"2017-07-28 08:55:32";78.0;;5;"1";;;"";"done";;;"2017-07-28 08:55:32";;"INV:INV: Microfibra Accappatoio Tecnico";6;;11923;f;t;;"make_to_stock";6;;;12402;;;12;"2017-07-28 08:55:32.612716";;;"none";;;;;0.00;0.00;3;f;;;
28367;"";;"2017-07-28 08:55:33.407953";;1;;80.000;1;"2017-07-28 08:55:33";80.0;;5;"1";;;"";"done";;;"2017-07-28 08:55:33";;"INV:INV: Microfibra Accappatoio Tecnico";6;;11924;f;t;;"make_to_stock";6;;;12403;;;12;"2017-07-28 08:55:33.407953";;;"none";;;;;0.00;0.00;3;f;;;
28368;"";;"2017-07-28 08:55:34.188706";;1;;80.000;1;"2017-07-28 08:55:34";80.0;;5;"1";;;"";"done";;;"2017-07-28 08:55:34";;"INV:INV: Microfibra Accappatoio Tecnico";6;;11925;f;t;;"make_to_stock";6;;;12404;;;12;"2017-07-28 08:55:34.188706";;;"none";;;;;0.00;0.00;3;f;;;
28369;"";;"2017-07-28 08:55:34.987802";;1;;80.000;1;"2017-07-28 08:55:35";80.0;;5;"1";;;"";"done";;;"2017-07-28 08:55:35";;"INV:INV: Microfibra Accappatoio Tecnico";6;;11926;f;t;;"make_to_stock";6;;;12405;;;12;"2017-07-28 08:55:34.987802";;;"none";;;;;0.00;0.00;3;f;;;
28370;"";;"2017-07-28 08:55:35.775965";;1;;80.000;1;"2017-07-28 08:55:36";80.0;;5;"1";;;"";"done";;;"2017-07-28 08:55:35";;"INV:INV: Microfibra Accappatoio Tecnico";6;;11927;f;t;;"make_to_stock";6;;;12406;;;12;"2017-07-28 08:55:35.775965";;;"none";;;;;0.00;0.00;3;f;;;
28371;"";;"2017-07-28 08:55:36.558034";;1;;80.000;1;"2017-07-28 08:55:36";80.0;;5;"1";;;"";"done";;;"2017-07-28 08:55:36";;"INV:INV: Microfibra Accappatoio Tecnico";6;;11928;f;t;;"make_to_stock";6;;;12407;;;12;"2017-07-28 08:55:36.558034";;;"none";;;;;0.00;0.00;3;f;;;
28372;"";;"2017-07-28 08:55:37.32802";;1;;80.000;1;"2017-07-28 08:55:37";80.0;;5;"1";;;"";"done";;;"2017-07-28 08:55:37";;"INV:INV: Microfibra Accappatoio Tecnico";6;;11929;f;t;;"make_to_stock";6;;;12408;;;12;"2017-07-28 08:55:37.32802";;;"none";;;;;0.00;0.00;3;f;;;
28373;"";;"2017-07-28 08:55:38.109993";;1;;80.000;1;"2017-07-28 08:55:38";80.0;;5;"1";;;"";"done";;;"2017-07-28 08:55:38";;"INV:INV: Microfibra Accappatoio Tecnico";6;;11930;f;t;;"make_to_stock";6;;;12409;;;12;"2017-07-28 08:55:38.109993";;;"none";;;;;0.00;0.00;3;f;;;
28374;"";;"2017-07-28 08:55:38.882311";;1;;80.000;1;"2017-07-28 08:55:39";80.0;;5;"1";;;"";"done";;;"2017-07-28 08:55:39";;"INV:INV: Microfibra Accappatoio Tecnico";6;;11931;f;t;;"make_to_stock";6;;;12410;;;12;"2017-07-28 08:55:38.882311";;;"none";;;;;0.00;0.00;3;f;;;
28375;"";;"2017-07-28 08:55:39.646644";;1;;80.000;1;"2017-07-28 08:55:39";80.0;;5;"1";;;"";"done";;;"2017-07-28 08:55:39";;"INV:INV: Microfibra Accappatoio Tecnico";6;;11932;f;t;;"make_to_stock";6;;;12411;;;12;"2017-07-28 08:55:39.646644";;;"none";;;;;0.00;0.00;3;f;;;
28376;"";;"2017-07-28 08:55:40.417187";;1;;1.000;1;"2017-07-28 08:55:40";1.0;;5;"1";;;"";"done";;;"2017-07-28 08:55:40";;"INV:INV: Microfibra Accappatoio Tecnico";6;;11933;f;t;;"make_to_stock";6;;;12412;;;12;"2017-07-28 08:55:40.417187";;;"none";;;;;0.00;0.00;3;f;;;
28377;"";;"2017-07-28 08:55:42.207117";;1;;1.000;1;"2017-07-28 08:55:42";1.0;;5;"1";;;"";"done";;;"2017-07-28 08:55:42";;"INV:INV: Microfibra Accappatoio Tecnico";6;;11934;f;t;;"make_to_stock";6;;;12415;;;12;"2017-07-28 08:55:42.207117";;;"none";;;;;0.00;0.00;3;f;;;
28378;"";;"2017-07-28 08:55:43.49328";;1;;1.000;1;"2017-07-28 08:55:43";1.0;;5;"1";;;"";"done";;;"2017-07-28 08:55:43";;"INV:INV: Microfibra Accappatoio Tecnico";6;;11935;f;t;;"make_to_stock";6;;;12417;;;12;"2017-07-28 08:55:43.49328";;;"none";;;;;0.00;0.00;3;f;;;
28379;"";;"2017-07-28 08:55:45.613159";;1;;2.000;1;"2017-07-28 08:55:45";2.0;;5;"1";;;"";"done";;;"2017-07-28 08:55:45";;"INV:INV: Microfibra Accappatoio Tecnico";6;;11936;f;t;;"make_to_stock";6;;;12420;;;12;"2017-07-28 08:55:45.613159";;;"none";;;;;0.00;0.00;3;f;;;
